caseid,democratic2016,inputstate,region,birthyr,gender,sexuality,trans,educ,edloan,race,employ,internethome,marstat,pew_religimp,religpew,child18,faminc_new,ownhome,urbancity,milstat_5,immstat,union,investor
412307651,0,48,South,1940,Male,Heterosexual,No,High school graduate,No,White,Retired,Broadband,Married,Not at all important,Agnostic,No,4,Rent,City,Served,5,Former,No
412789076,0,36,Northeast,1952,Female,Heterosexual,No,High school graduate,No,White,Retired,Broadband,Married,Not too important,Roman Catholic,No,8,Own,Suburb,Served,5,Former,Yes
414570076,1,45,South,1991,Female,Heterosexual,No,4-year,Yes,Black,Homemaker,Broadband,Married,Somewhat important,Nothing in particular,No,3,Rent,City,Never Served,4,Never,No
416323460,0,21,South,1947,Male,Heterosexual,No,High school graduate,No,White,Retired,Broadband,Never Married,Not at all important,Nothing in particular,No,5,Own,Suburb,Served,5,Former,Yes
411938104,0,48,South,1951,Female,Heterosexual,No,2-year,No,Mixed,Retired,Broadband,Married,Very important,Jewish,No,9,Own,Town,Served,5,Former,No
413020771,0,48,South,1962,Male,Heterosexual,No,High school graduate,No,White,Unemployed,Broadband,Divorced,Very important,Roman Catholic,No,5,Rent,Suburb,Served,3,Former,No
412946035,0,24,South,1941,Male,Heterosexual,No,High school graduate,No,Other,Retired,Broadband,Married,Very important,Something else,No,4,Own,Town,Never Served,1,Never,No
414464798,1,29,Midwest,1990,Female,Prefer not to say,No,Some college,No,White,Student,Broadband,Never Married,Not too important,Jewish,No,13,Own,Town,Never Served,5,Never,Yes
412968329,0,1,South,1959,Male,Heterosexual,No,Some college,Yes,White,Other,Broadband,Married,Very important,Protestant,No,3,Own,Suburb,Served,5,Former,No
416785554,1,47,South,1962,Female,Heterosexual,No,4-year,No,White,Full-time,Broadband,Married,Somewhat important,Protestant,No,12,Own,Suburb,Served,5,Never,No
418352871,1,17,Midwest,1980,Male,Heterosexual,No,4-year,Yes,White,Full-time,Broadband,Married,Somewhat important,Protestant,Yes,13,Own,Suburb,Served,5,Never,Yes
412451760,1,19,Midwest,1967,Female,Bisexual,No,4-year,No,White,Permanently disabled,None,Divorced,Somewhat important,Protestant,No,2,Rent,City,Served,5,Former,No
413843077,1,48,South,1957,Female,Lesbian,No,Post-grad,No,Other,Full-time,Broadband,Never Married,Not at all important,Atheist,No,7,Own,Suburb,Served,5,Current,No
414223291,1,6,West,1984,Female,Heterosexual,No,Some college,No,Hispanic,Full-time,None,Divorced,Somewhat important,Roman Catholic,Yes,3,Rent,Rural area,Never Served,3,Never,No
412415654,1,41,West,1957,Female,Heterosexual,No,4-year,No,White,Retired,Broadband,Widowed,Not at all important,Agnostic,No,4,Own,Town,Served,4,Former,No
412273650,1,12,South,1950,Female,Heterosexual,No,Post-grad,No,Black,Retired,Broadband,Divorced,Not at all important,Protestant,No,8,Rent,City,Served,5,Never,Yes
412359325,1,36,Northeast,1950,Female,Heterosexual,No,4-year,Yes,White,Retired,Broadband,Widowed,Somewhat important,Jewish,No,3,Rent,Town,Served,4,Former,No
417519498,1,25,Northeast,1994,Female,Lesbian,No,Post-grad,Yes,Mixed,Full-time,Broadband,Never Married,Very important,Protestant,No,3,Rent,City,Never Served,5,Never,No
417449777,1,48,South,1994,Female,Heterosexual,No,Post-grad,No,White,Student,Broadband,Never Married,Not at all important,Nothing in particular,No,16,Other,Suburb,Served,5,Never,Yes
419010921,1,40,South,1987,Female,Heterosexual,No,Post-grad,Yes,White,Full-time,Broadband,Married,Very important,Protestant,No,6,Rent,City,Never Served,3,Former,Yes
413848517,1,27,Midwest,1947,Female,Heterosexual,No,High school graduate,No,White,Retired,Broadband,Married,Not too important,Roman Catholic,No,5,Own,Suburb,Served,4,Never,Yes
412282977,0,17,Midwest,1962,Female,Heterosexual,No,2-year,No,White,Retired,Broadband,Married,Somewhat important,Protestant,No,12,Own,Rural area,Served,5,Never,No
415317560,0,29,Midwest,1963,Female,Prefer not to say,No,Some college,No,White,Unemployed,Broadband,Married,Somewhat important,Nothing in particular,No,8,Own,Suburb,Served,4,Never,Yes
412921505,1,45,South,1975,Female,Heterosexual,No,2-year,Yes,White,Full-time,Broadband,Married,Very important,Nothing in particular,No,7,Rent,City,Never Served,4,Never,No
412965882,0,13,South,1949,Female,Heterosexual,No,Some college,No,White,Retired,Broadband,Married,Very important,Protestant,No,8,Own,City,Served,5,Never,Yes
413597598,1,48,South,1979,Male,Other,No,Some college,No,White,Full-time,Broadband,Married,Not at all important,Agnostic,No,12,Own,Suburb,Never Served,4,Never,Yes
412892264,0,6,West,1964,Male,Heterosexual,No,4-year,No,White,Full-time,Broadband,Married,Not at all important,Atheist,Yes,10,Own,Town,Served,5,Current,Yes
411823124,1,17,Midwest,1954,Male,Heterosexual,No,Post-grad,No,White,Retired,Broadband,Married,Not too important,Jewish,Yes,12,Own,City,Served,4,Former,Yes
417080111,1,37,South,1982,Male,Heterosexual,No,Post-grad,Yes,Black,Student,Broadband,Married,Not too important,Protestant,Yes,6,Rent,City,Served,5,Former,Yes
413149012,1,48,South,1988,Male,Heterosexual,No,4-year,No,White,Full-time,Broadband,Married,Not at all important,Atheist,No,10,Own,Suburb,Served,5,Never,Yes
418846982,1,48,South,1991,Female,Bisexual,No,High school graduate,No,Hispanic,Part-time,Broadband,Never Married,Not too important,Agnostic,No,3,Own,Suburb,Never Served,3,Never,No
412800840,0,46,Midwest,1988,Female,Heterosexual,No,Some college,No,White,Full-time,Broadband,Married,Somewhat important,Something else,Yes,9,Own,Suburb,Never Served,5,Never,No
412976924,0,12,South,1943,Female,Heterosexual,No,4-year,No,White,Retired,Broadband,Widowed,Very important,Protestant,No,4,Rent,City,Served,4,Never,No
412391420,1,6,West,1962,Male,Heterosexual,No,Post-grad,Yes,White,Full-time,Broadband,Married,Somewhat important,Protestant,No,9,Own,Suburb,Served,5,Never,Yes
412441428,0,22,South,1961,Female,Heterosexual,No,2-year,No,White,Permanently disabled,Broadband,Married,Not too important,Protestant,No,6,Own,Suburb,Never Served,5,Never,No
413090855,0,26,Midwest,1972,Female,Heterosexual,No,High school graduate,No,White,Full-time,Broadband,Married,Very important,Protestant,No,4,Own,Rural area,Served,5,Never,No
412446692,1,6,West,1974,Female,Heterosexual,No,Some college,No,Hispanic,Permanently disabled,Broadband,Never Married,Very important,Protestant,No,1,Rent,City,Served,3,Never,Yes
414781216,1,53,West,1989,Female,Heterosexual,No,High school graduate,No,White,Full-time,Broadband,Domestic partnership,Not at all important,Agnostic,No,3,Rent,Town,Served,4,Never,No
416541706,1,24,South,1986,Male,Heterosexual,No,2-year,Yes,Black,Full-time,Broadband,Never Married,Very important,Something else,No,9,Own,Suburb,Served,5,Never,No
415625797,1,16,West,1980,Male,Heterosexual,No,Post-grad,Yes,Mixed,Full-time,Broadband,Married,Somewhat important,Something else,No,5,Rent,City,Never Served,5,Former,No
412238368,1,46,Midwest,1939,Female,Heterosexual,No,High school graduate,No,White,Retired,Broadband,Widowed,Very important,Protestant,No,5,Own,City,Served,5,Never,Yes
412920103,1,42,Northeast,1958,Male,Heterosexual,No,High school graduate,No,White,Full-time,Broadband,Married,Not at all important,Roman Catholic,No,8,Own,Rural area,Never Served,4,Never,No
411853447,1,54,South,1965,Female,Heterosexual,No,Some college,No,White,Full-time,Broadband,Married,Very important,Protestant,No,9,Rent,Rural area,Served,4,Never,No
411983408,1,6,West,1939,Male,Other,No,4-year,No,White,Part-time,Broadband,Widowed,Very important,Protestant,No,11,Own,Suburb,Served,4,Former,Yes
416149612,0,21,South,1957,Male,Heterosexual,No,High school graduate,No,White,Retired,Broadband,Married,Somewhat important,Nothing in particular,No,3,Own,Rural area,Never Served,5,Never,No
412320301,1,27,Midwest,1933,Female,Heterosexual,No,Post-grad,No,White,Retired,Broadband,Widowed,Not at all important,Nothing in particular,No,2,Rent,Rural area,Served,3,Current,Yes
411995969,1,37,South,1949,Female,Heterosexual,No,Post-grad,No,Black,Retired,Broadband,Married,Very important,Protestant,No,8,Own,City,Never Served,5,Current,Yes
417614388,1,13,South,1953,Female,Heterosexual,No,High school graduate,No,Black,Part-time,Broadband,Never Married,Somewhat important,Protestant,No,1,Other,Suburb,Served,1,Former,No
414601572,1,15,West,1980,Male,Heterosexual,No,4-year,No,Hispanic,Full-time,Broadband,Married,Somewhat important,Protestant,Yes,12,Own,City,Served,1,Never,Yes
412892085,0,51,South,1964,Male,Heterosexual,No,4-year,No,White,Full-time,Broadband,Married,Somewhat important,Roman Catholic,Yes,11,Own,Suburb,Served,5,Never,Yes
414370810,0,22,South,1989,Male,Heterosexual,No,Post-grad,No,White,Full-time,Broadband,Married,Very important,Protestant,No,3,Own,Suburb,Never Served,5,Never,Yes
412326061,0,6,West,1968,Female,Heterosexual,No,Some college,No,White,Part-time,Broadband,Married,Very important,Protestant,No,5,Own,Suburb,Served,1,Never,No
416280754,1,55,Midwest,1977,Female,Bisexual,No,High school graduate,No,White,Full-time,Broadband,Married,Not at all important,Something else,Yes,3,Own,Rural area,Never Served,5,Never,No
414189665,1,25,Northeast,1983,Female,Heterosexual,No,Post-grad,Yes,White,Full-time,Broadband,Never Married,Not at all important,Nothing in particular,Yes,9,Own,City,Served,5,Never,No
410711702,0,54,South,1969,Female,Heterosexual,No,2-year,No,White,Other,Broadband,Married,Very important,Roman Catholic,No,10,Own,Rural area,Never Served,5,Never,Yes
416421111,1,9,Northeast,1947,Female,Heterosexual,No,2-year,No,Black,Retired,Broadband,Never Married,Somewhat important,Protestant,No,3,Rent,Town,Served,5,Never,Yes
418373714,0,4,West,1958,Male,Heterosexual,No,High school graduate,No,White,Retired,Broadband,Never Married,Not at all important,Nothing in particular,No,2,Own,Suburb,Served,4,Former,Yes
414461820,0,6,West,1964,Female,Heterosexual,No,2-year,Yes,Hispanic,Permanently disabled,Broadband,Married,Somewhat important,Something else,Yes,10,Own,City,Served,3,Current,No
414255264,0,29,Midwest,1978,Female,Heterosexual,No,High school graduate,No,White,Permanently disabled,Broadband,Never Married,Very important,Protestant,No,8,Own,Town,Never Served,5,Never,No
412323841,0,20,Midwest,1962,Female,Heterosexual,No,Some college,No,White,Full-time,Broadband,Married,Very important,Protestant,No,8,Own,Town,Never Served,5,Never,Yes
415460561,0,39,Midwest,1989,Male,Heterosexual,No,4-year,No,White,Full-time,None,Married,Very important,Protestant,No,8,Own,Town,Served,5,Never,Yes
412036992,1,33,Northeast,1968,Female,Heterosexual,No,Some college,No,White,Student,Broadband,Married,Very important,Jewish,Yes,3,Own,City,Never Served,5,Never,No
415722765,1,6,West,1979,Male,Heterosexual,No,Post-grad,No,White,Full-time,Broadband,Married,Not at all important,Something else,Yes,12,Own,Suburb,Served,5,Former,Yes
412904254,1,13,South,1969,Female,Heterosexual,No,4-year,Yes,Black,Unemployed,Broadband,Never Married,Somewhat important,Protestant,No,4,Own,Suburb,Never Served,5,Never,No
418249782,1,4,West,1949,Male,Heterosexual,No,Post-grad,No,White,Full-time,Broadband,Married,Somewhat important,Jewish,No,12,Own,Suburb,Served,4,Never,Yes
418066314,0,8,West,1954,Male,Heterosexual,No,2-year,No,White,Permanently disabled,Broadband,Domestic partnership,Very important,Protestant,No,5,Own,Town,Served,5,Former,No
414223629,1,12,South,1954,Female,Heterosexual,No,4-year,No,Hispanic,Retired,Broadband,Married,Very important,Protestant,No,10,Own,Suburb,Served,5,Current,Yes
414551361,1,6,West,1990,Male,Heterosexual,No,High school graduate,No,White,Unemployed,None,Never Married,Not at all important,Nothing in particular,No,4,Other,Suburb,Never Served,5,Never,No
412345372,1,12,South,1951,Male,Gay,No,Some college,No,White,Retired,Broadband,Never Married,Not too important,Roman Catholic,No,7,Own,Suburb,Never Served,4,Current,No
412353300,0,45,South,1948,Male,Heterosexual,No,Some college,No,White,Retired,Broadband,Married,Very important,Protestant,No,5,Own,City,Served,5,Never,Yes
418066049,0,18,Midwest,1947,Male,Heterosexual,No,2-year,No,White,Retired,Broadband,Married,Very important,Roman Catholic,No,7,Own,Rural area,Served,4,Never,Yes
414190711,0,13,South,1963,Female,Heterosexual,No,High school graduate,No,White,Permanently disabled,Broadband,Widowed,Somewhat important,Protestant,Yes,2,Own,Suburb,Never Served,5,Never,No
412315072,0,4,West,1946,Male,Heterosexual,No,Some college,No,White,Retired,Broadband,Married,Not too important,Roman Catholic,No,5,Own,Suburb,Served,5,Former,No
413403788,1,45,South,1962,Female,Heterosexual,No,Post-grad,No,White,Full-time,Broadband,Never Married,Very important,Protestant,No,9,Own,Rural area,Never Served,5,Never,Yes
419721535,0,6,West,1983,Male,Heterosexual,No,4-year,No,Hispanic,Full-time,Broadband,Never Married,Somewhat important,Roman Catholic,No,9,Own,City,Served,3,Never,Yes
412300641,0,42,Northeast,1951,Female,Heterosexual,No,High school graduate,Yes,White,Retired,Broadband,Divorced,Very important,Roman Catholic,No,4,Rent,Suburb,Never Served,5,Never,No
420286905,1,48,South,1997,Male,Gay,No,High school graduate,No,White,Full-time,Broadband,Never Married,Not too important,Nothing in particular,No,2,Rent,Town,Never Served,4,Never,No
417077992,0,37,South,1965,Male,Heterosexual,No,Some college,No,Hispanic,Full-time,Broadband,Married,Very important,Protestant,Yes,4,Rent,Town,Served,1,Never,Yes
412350944,0,51,South,1945,Female,Heterosexual,No,Some college,No,White,Other,Broadband,Divorced,Very important,Roman Catholic,No,11,Own,Town,Served,5,Never,No
413976084,1,42,Northeast,1988,Male,Heterosexual,No,High school graduate,No,Mixed,Full-time,Broadband,Domestic partnership,Not too important,Roman Catholic,No,7,Own,Town,Never Served,3,Never,No
416138754,1,9,Northeast,1982,Male,Heterosexual,No,Some college,No,White,Full-time,Broadband,Never Married,Not at all important,Agnostic,No,7,Own,Town,Never Served,5,Never,Yes
412874379,1,20,Midwest,1969,Male,Gay,No,4-year,Yes,White,Full-time,None,Never Married,Somewhat important,Jewish,No,4,Rent,City,Never Served,1,Never,No
412282120,0,48,South,1948,Female,Heterosexual,No,Post-grad,No,White,Retired,Broadband,Married,Very important,Roman Catholic,No,9,Own,Rural area,Served,4,Never,Yes
418886705,1,55,Midwest,1984,Female,Bisexual,No,Some college,No,White,Full-time,Broadband,Married,Not at all important,Agnostic,Yes,7,Own,City,Never Served,5,Never,Yes
412297449,0,36,Northeast,1987,Female,Heterosexual,No,Post-grad,No,White,Full-time,Broadband,Never Married,Not at all important,Nothing in particular,No,6,Rent,Suburb,Served,5,Former,Yes
414987909,1,12,South,1989,Female,Heterosexual,No,Some college,Yes,Hispanic,Part-time,Broadband,Domestic partnership,Somewhat important,Roman Catholic,No,7,Rent,City,Never Served,1,Never,No
412312761,0,53,West,1936,Male,Heterosexual,No,High school graduate,No,White,Retired,Broadband,Widowed,Very important,Protestant,No,3,Own,Rural area,Served,4,Never,Yes
411759073,1,39,Midwest,1968,Female,Heterosexual,No,2-year,Yes,White,Full-time,Broadband,Divorced,Somewhat important,Roman Catholic,Yes,7,Own,Rural area,Served,5,Current,Yes
413376013,0,37,South,1958,Female,Heterosexual,No,4-year,No,White,Other,Broadband,Married,Very important,Protestant,No,3,Rent,Town,Served,5,Never,No
418899642,1,25,Northeast,1983,Female,Bisexual,No,Some college,Yes,White,Full-time,Broadband,Never Married,Not at all important,Atheist,Yes,13,Rent,Suburb,Never Served,5,Former,No
418062870,1,12,South,1947,Male,Heterosexual,No,Some college,No,White,Retired,Broadband,Divorced,Not too important,Nothing in particular,No,6,Own,Town,Served,3,Former,No
412283867,1,36,Northeast,1985,Female,Heterosexual,No,4-year,No,White,Full-time,Broadband,Never Married,Not at all important,Agnostic,No,7,Rent,City,Never Served,4,Current,No
416383506,0,47,South,1958,Female,Heterosexual,No,No HS,No,White,Unemployed,Broadband,Married,Very important,Protestant,No,4,Own,Suburb,Never Served,5,Never,No
414370762,1,12,South,1990,Female,Heterosexual,No,Some college,Yes,Hispanic,Full-time,Broadband,Married,Not at all important,Agnostic,Yes,3,Own,City,Served,4,Former,No
412306738,0,36,Northeast,1955,Male,Heterosexual,No,Some college,No,White,Retired,Broadband,Divorced,Somewhat important,Roman Catholic,No,5,Rent,Suburb,Never Served,4,Former,Yes
412298011,1,36,Northeast,1978,Female,Other,No,4-year,Yes,White,Unemployed,None,Never Married,Somewhat important,Roman Catholic,Yes,2,Rent,City,Served,5,Never,Yes
412977332,1,48,South,1952,Male,Heterosexual,No,Post-grad,No,Black,Part-time,Broadband,Never Married,Somewhat important,Protestant,No,7,Own,City,Never Served,5,Never,Yes
410520236,1,1,South,1964,Female,Heterosexual,No,Post-grad,Yes,White,Permanently disabled,Broadband,Married,Very important,Protestant,No,6,Own,Town,Served,4,Former,Yes
417842502,1,12,South,1973,Female,Lesbian,Yes,High school graduate,No,Black,Homemaker,Broadband,Never Married,Somewhat important,Protestant,Yes,8,Rent,Rural area,Served,3,Never,Yes
412427871,1,19,Midwest,1957,Female,Heterosexual,No,2-year,No,White,Full-time,Broadband,Married,Somewhat important,Protestant,No,9,Own,Town,Served,5,Current,No
417618850,1,6,West,1940,Male,Heterosexual,No,Post-grad,No,White,Retired,Broadband,Married,Not too important,Buddhist,No,6,Own,City,Never Served,5,Never,Yes
413627261,1,51,South,1971,Female,Heterosexual,No,2-year,No,White,Permanently disabled,Broadband,Never Married,Very important,Protestant,No,1,Rent,Town,Served,5,Never,No
412221500,1,26,Midwest,1941,Male,Heterosexual,No,4-year,No,White,Retired,Broadband,Married,Very important,Roman Catholic,No,8,Own,City,Served,4,Never,No
418985891,1,29,Midwest,1975,Female,Heterosexual,No,Some college,No,White,Permanently disabled,Broadband,Divorced,Very important,Protestant,No,1,Rent,City,Served,5,Never,No
416974786,1,12,South,1983,Female,Heterosexual,Prefer not to say,4-year,Yes,Hispanic,Full-time,Dial-up,Married,Very important,Roman Catholic,Yes,10,Own,City,Never Served,3,Former,Yes
412958117,0,4,West,1955,Female,Heterosexual,No,Some college,No,White,Retired,Broadband,Married,Somewhat important,Protestant,No,8,Own,Suburb,Served,5,Never,Yes
414359483,1,12,South,1992,Female,Heterosexual,No,Post-grad,Yes,Black,Student,Broadband,Never Married,Very important,Something else,No,3,Own,Suburb,Served,5,Never,No
411997022,0,45,South,1936,Male,Heterosexual,No,4-year,No,White,Part-time,Broadband,Married,Very important,Protestant,No,6,Own,Suburb,Served,4,Former,No
412939828,0,6,West,1984,Male,Heterosexual,Yes,4-year,No,Hispanic,Full-time,Broadband,Married,Very important,Protestant,Yes,11,Own,Suburb,Never Served,5,Never,Yes
412668855,1,42,Northeast,1987,Female,Heterosexual,No,Post-grad,No,White,Full-time,Broadband,Never Married,Somewhat important,Nothing in particular,No,5,Rent,Town,Never Served,5,Former,No
413755039,1,6,West,1977,Female,Heterosexual,No,2-year,No,Hispanic,Homemaker,Broadband,Married,Somewhat important,Roman Catholic,Yes,13,Own,Rural area,Served,4,Never,Yes
414362193,0,40,South,1986,Female,Heterosexual,No,2-year,No,White,Homemaker,Broadband,Married,Very important,Protestant,Yes,4,Own,Rural area,Served,5,Never,Yes
414739711,1,51,South,1965,Female,Heterosexual,No,No HS,No,Black,Part-time,Broadband,Divorced,Somewhat important,Nothing in particular,No,2,Rent,City,Served,5,Never,No
414020377,1,37,South,1991,Female,Prefer not to say,No,4-year,Yes,White,Full-time,Broadband,Married,Not at all important,Agnostic,No,5,Rent,City,Never Served,5,Never,No
412404836,0,37,South,1963,Female,Heterosexual,No,Post-grad,No,White,Homemaker,Broadband,Married,Very important,Protestant,Yes,11,Own,Suburb,Served,4,Never,Yes
414023393,0,6,West,1944,Male,Heterosexual,No,High school graduate,No,White,Full-time,Broadband,Married,Somewhat important,Protestant,No,7,Own,City,Served,5,Current,No
413399424,1,51,South,1962,Female,Prefer not to say,No,4-year,No,White,Full-time,None,Never Married,Not at all important,Nothing in particular,No,3,Own,City,Never Served,5,Never,Yes
412330061,1,48,South,1940,Female,Heterosexual,No,High school graduate,No,White,Retired,Broadband,Widowed,Very important,Protestant,No,8,Other,Rural area,Served,5,Never,No
413172369,1,12,South,1963,Female,Heterosexual,No,High school graduate,No,White,Full-time,Broadband,Married,Somewhat important,Protestant,Yes,4,Rent,Suburb,Never Served,5,Never,Yes
412931693,0,4,West,1958,Male,Heterosexual,No,High school graduate,Yes,White,Full-time,Broadband,Divorced,Very important,Protestant,No,4,Own,Suburb,Never Served,4,Never,No
413346366,1,17,Midwest,1995,Male,Bisexual,Yes,High school graduate,No,White,Homemaker,Broadband,Never Married,Not at all important,Agnostic,No,1,Rent,Town,Never Served,5,Never,No
414518120,1,21,South,1989,Female,Heterosexual,No,Post-grad,No,White,Full-time,Broadband,Married,Not at all important,Nothing in particular,Yes,10,Own,Suburb,Never Served,4,Never,No
413034706,1,6,West,1966,Female,Bisexual,No,Post-grad,No,Mixed,Permanently disabled,Broadband,Widowed,Somewhat important,Something else,No,7,Own,Suburb,Served,4,Former,Yes
412457511,0,36,Northeast,1970,Female,Heterosexual,No,2-year,No,White,Part-time,Broadband,Married,Very important,Roman Catholic,Yes,8,Own,Suburb,Served,4,Never,Yes
412325821,1,19,Midwest,1940,Male,Heterosexual,No,Some college,No,White,Retired,Broadband,Married,Very important,Roman Catholic,No,6,Own,City,Served,5,Former,Yes
414175779,0,6,West,1934,Male,Heterosexual,No,High school graduate,No,White,Retired,Broadband,Married,Not at all important,Nothing in particular,No,10,Own,Rural area,Never Served,5,Never,Yes
413095428,0,12,South,1977,Male,Heterosexual,No,Some college,No,White,Part-time,None,Divorced,Very important,Protestant,No,3,Rent,Suburb,Never Served,5,Never,No
412023709,0,6,West,1942,Male,Heterosexual,No,4-year,No,White,Retired,Broadband,Married,Very important,Protestant,No,10,Own,Rural area,Never Served,4,Never,Yes
415267576,1,39,Midwest,1969,Female,Heterosexual,No,4-year,No,Black,Full-time,Broadband,Married,Somewhat important,Nothing in particular,Yes,12,Own,Suburb,Never Served,5,Current,Yes
413710542,1,39,Midwest,1968,Female,Heterosexual,No,No HS,No,White,Part-time,Broadband,Never Married,Not at all important,Nothing in particular,No,3,Own,Rural area,Served,5,Never,No
413083160,0,27,Midwest,1975,Male,Heterosexual,No,Some college,Yes,White,Full-time,Broadband,Never Married,Not at all important,Agnostic,No,10,Own,Town,Never Served,5,Former,Yes
409605240,1,6,West,1974,Female,Lesbian,No,4-year,Yes,White,Full-time,Broadband,Never Married,Not too important,Something else,No,5,Rent,Suburb,Never Served,3,Never,Yes
411889629,0,17,Midwest,1941,Male,Heterosexual,No,Some college,No,White,Part-time,Broadband,Married,Very important,Protestant,No,4,Rent,Suburb,Served,5,Never,No
418496045,1,48,South,1959,Female,Heterosexual,No,4-year,No,Black,Retired,Broadband,Divorced,Somewhat important,Nothing in particular,No,3,Rent,Suburb,Never Served,5,Never,No
419197592,1,12,South,1971,Female,Heterosexual,No,Some college,No,Black,Full-time,Broadband,Married,Very important,Protestant,Yes,11,Other,City,Served,5,Never,No
